customer_code,customer,avg_discount
70002017,"Atliq Exclusive",0.07190000
70002018,"Atliq e Store",0.21580000
90002001,"Reliance Digital",0.20065000
90002002,Croma,0.24425000
90002003,Ezone,0.28195000
90002004,"Vijay Sales",0.28115000
90002005,Lotus,0.25260000
90002006,Viveks,0.27180000
90002007,Girias,0.25640000
90002008,Amazon,0.21035000
90002009,Flipkart,0.29545000
90002010,Ebay,0.21675000
90002011,"Atliq Exclusive",0.27245000
90002012,Electricalsocity,0.22645000
90002013,Electricalslytical,0.25690000
90002014,Expression,0.23555000
90002015,Propel,0.21155000
90002016,"Amazon ",0.24045000
